0,7,49,6
1,73,58,11
2,30,72,2
3,44,78,2
4,23,9,14
5,40,65,2
6,92,42,7
7,87,3,3
8,27,29,14
9,40,12,16
10,3,69,6
11,9,57,6
12,60,33,8
13,99,78,1
14,16,35,14
15,97,26,7
16,12,67,6
17,10,33,14
18,79,49,7
19,79,21,3
20,67,72,11
21,93,36,7
22,85,45,7
23,28,91,0
24,94,57,11
25,1,53,6
26,8,44,6
27,68,90,10
28,24,96,0
29,30,3,16
30,22,66,6
31,49,24,16
32,1,53,6
33,77,8,3
34,28,33,14
35,98,81,1
36,35,13,16
37,65,14,16
38,63,36,8
39,25,69,6
40,15,94,0
41,29,1,16
42,17,95,0
43,5,4,14
44,51,98,10
45,88,23,3
46,5,82,0
47,52,66,2
48,16,37,6
49,38,44,8
50,1,97,0
51,71,28,7
52,37,58,2
53,77,97,1
54,94,4,3
55,9,31,14
56,45,75,2
57,35,98,10
58,42,99,10
59,68,12,3
60,60,57,2
61,94,8,3
62,95,68,11
63,13,30,14
64,6,62,6
65,42,65,2
66,82,52,11
67,67,21,3
68,95,12,3
69,71,1,3
70,90,31,7
71,38,57,2
72,16,90,0
73,40,79,2
74,35,6,16
75,72,98,1
76,95,19,3
77,54,23,16
78,89,60,11
79,5,26,14
80,23,6,14
81,13,70,6
82,38,94,10
83,20,44,6
84,66,34,8
85,26,94,0
86,63,38,8
87,44,90,10
88,50,59,2
89,23,47,6
90,85,17,3
91,72,39,7
92,47,85,10
93,96,85,1
94,23,20,14
95,44,68,2
96,35,15,16
97,25,34,14
98,42,11,16
99,79,52,11
100,44,95,10
101,18,96,0
102,92,15,3
103,91,33,7
104,69,97,10
105,53,47,8
106,25,10,14
107,62,11,16
108,8,77,0
109,61,25,8
110,35,68,2
111,95,76,1
112,67,39,8
113,74,31,7
114,56,1,16
115,72,60,11
116,94,84,1
117,55,89,10
118,7,15,14
119,93,69,11
120,80,55,11
121,55,6,16
122,63,2,16
123,76,8,3
124,49,31,8
125,44,38,8
126,8,97,0
127,51,49,8
128,3,31,14
129,31,14,14
130,19,75,0
131,9,80,0
132,29,23,14
133,54,60,2
134,37,45,8
135,17,25,14
136,0,56,6
137,64,97,10
138,48,4,16
139,50,50,8
140,76,12,3
141,54,97,10
142,4,81,0
143,48,65,2
144,78,99,1
145,9,29,14
146,53,83,10
147,47,7,16
148,73,22,3
149,5,76,0
150,53,24,16
151,30,66,2
152,0,44,6
153,70,85,1
154,16,98,0
155,55,33,8
156,57,76,10
157,78,66,11
158,57,11,16
159,78,14,3
160,19,37,6
161,33,91,0
162,20,62,6
163,33,97,0
164,31,88,0
165,89,73,11
166,77,4,3
167,58,0,16
168,54,60,2
169,15,47,6
170,80,30,7
171,55,46,8
172,7,38,6
173,0,26,14
174,35,57,2
175,13,14,14
176,93,60,11
177,54,18,16
178,57,85,10
179,29,15,14
180,63,2,16
181,17,43,6
182,19,67,6
183,47,69,2
184,95,3,3
185,73,3,3
186,48,85,10
187,58,59,2
188,6,30,14
189,24,32,14
190,73,3,3
191,97,20,3
192,50,31,8
193,80,3,3
194,0,20,14
195,33,58,2
196,3,76,0
197,50,34,8
198,80,79,1
199,32,74,2
200,49,42,8
201,49,71,2
202,10,79,0
203,83,70,11
204,40,23,16
205,50,71,2
206,29,18,14
207,46,99,10
208,30,21,14
209,76,24,3
210,44,58,2
211,96,71,11
212,64,60,2
213,98,51,7
214,40,3,16
215,51,1,16
216,5,80,0
217,18,74,0
218,49,13,16
219,20,25,14
220,12,83,0
221,88,17,3
222,8,50,6
223,24,95,0
224,57,11,16
225,90,66,11
226,10,93,0
227,53,65,2
228,60,42,8
229,3,52,6
230,7,41,6
231,10,0,14
232,99,27,7
233,71,87,1
234,14,25,14
235,41,17,16
236,48,42,8
237,15,74,0
238,45,73,2
239,20,11,14
240,39,54,2
241,5,29,14
242,53,89,10
243,66,56,11
244,4,60,6
245,98,92,1
246,20,16,14
247,80,67,11
248,52,39,8
249,98,1,3
250,11,16,14
251,91,71,11
252,28,71,0
253,61,45,8
254,20,40,6
255,58,53,2
256,27,50,6
257,11,63,6
258,94,33,7
259,27,27,14
260,95,31,7
261,42,16,16
262,6,15,14
263,24,1,14
264,97,61,11
265,3,24,14
266,8,36,14
267,81,15,3
268,10,16,14
269,5,73,0
270,81,20,3
271,91,69,11
272,65,27,8
273,36,28,8
274,25,84,0
275,67,49,8
276,76,46,7
277,76,66,11
278,67,20,3
279,84,91,1
280,10,58,6
281,11,44,6
282,18,18,14
